	LHA April 2020						Calendar Monthly Equivalent				
BRMA	CAT A	CAT B	CAT C	CAT D	CAT E		CAT A	CAT B	CAT C	CAT D	CAT E
Kirklees	55.94	81.92	98.56	115.86	152.13		243.07	355.96	428.27	503.44	661.04
Lancaster	60.21	92.45	117.03	134.57	147.90		261.63	401.72	508.52	584.74	642.66
Leeds	63.37	101.75	124.44	152.13	198.95		275.36	442.13	540.72	661.04	864.49
Leicester	64.29	87.77	111.18	132.60	165.93		279.36	381.38	483.10	576.18	721.01
Lincoln	59.90	82.97	101.92	117.03	150.53		260.28	360.52	442.87	508.52	654.09
Lincolnshire Fens	59.37	92.48	115.93	135.62	160.29		257.98	401.85	503.74	589.30	696.50
Lowestoft & Great Yarmouth	65.60	87.70	106.67	119.70	151.71		285.05	381.08	463.51	520.13	659.22
Luton	67.37	124.28	158.29	188.56	227.25		292.74	540.03	687.81	819.34	987.46
Maidstone	73.67	133.34	165.05	189.02	239.41		320.11	579.39	717.18	821.34	1040.29
Medway & Swale	68.22	115.93	144.64	165.10	213.74		296.43	503.74	628.50	717.40	928.75
Mendip	72.36	94.81	125.68	155.62	192.85		314.42	411.97	546.11	676.21	837.98
Mid & East Devon	71.96	98.61	128.46	154.08	195.55		312.68	428.48	558.19	669.51	849.71
Mid & West Dorset	69.87	107.74	139.26	163.84	203.49		303.60	468.16	605.12	711.92	884.21
Mid Staffs	67.08	92.45	115.86	135.62	173.57		291.48	401.72	503.44	589.30	754.20
Milton Keynes	70.00	130.76	163.46	194.26	248.52		304.17	568.18	710.27	844.11	1079.88
Newbury	74.92	133.34	168.72	203.20	284.84		325.55	579.39	733.13	882.95	1237.70
North Cheshire	52.73	93.61	111.18	128.73	177.78		229.12	406.76	483.10	559.36	772.50
North Cornwall & Devon Borders	69.87	94.81	122.10	142.22	175.98		303.60	411.97	530.55	617.98	764.68
North Cumbria	59.90	80.55	95.99	114.69	143.64		260.28	350.01	417.10	498.36	624.15
North Devon	66.26	93.61	117.03	140.43	171.32		287.92	406.76	508.52	610.20	744.43
North Nottingham	59.40	73.96	94.56	105.32	147.90		258.11	321.37	410.89	457.64	642.66
North West Kent	76.44	130.61	165.10	182.71	269.37		332.15	567.53	717.40	793.92	1170.48
North West London	94.30	206.48	261.46	326.91	392.19		409.76	897.20	1136.11	1420.50	1704.16
Northampton	69.47	107.94	136.28	146.49	196.03		301.86	469.03	592.17	636.53	851.80
Northants Central	56.36	88.91	114.30	133.34	172.62		244.90	386.34	496.66	579.39	750.08
Northumberland	70.83	75.41	88.94	105.32	140.43		307.77	327.67	386.47	457.64	610.20
Nottingham	70.17	92.45	110.10	126.01	158.70		304.91	401.72	478.41	547.54	689.59
Oldham & Rochdale	56.85	85.34	99.47	115.86	152.13		247.03	370.82	432.22	503.44	661.04
Outer East London	85.09	196.15	247.70	309.64	368.52		369.74	852.32	1076.32	1345.46	1601.31
Outer North East London	81.08	167.86	207.82	261.53	337.45		352.31	729.39	903.03	1136.41	1466.30
Outer North London	92.18	215.44	267.47	330.09	395.26		400.54	936.14	1162.22	1434.32	1717.50
Outer South East London	88.28	173.73	213.74	261.53	327.63		383.60	754.90	928.75	1136.41	1423.63
Outer South London	86.37	185.84	234.01	283.89	371.56		375.30	807.52	1016.83	1233.57	1614.52
Outer South West London	94.36	226.32	285.37	342.69	436.83		410.02	983.41	1240.00	1489.07	1898.13
Outer West London	88.92	189.61	247.78	285.45	343.11		386.38	823.90	1076.66	1240.35	1490.89
Oxford	86.91	166.45	195.75	234.05	304.27		377.64	723.26	850.58	1017.00	1322.13
Peaks & Dales	69.08	91.74	112.60	130.37	170.86		300.17	398.63	489.27	566.49	742.43
Peterborough	58.12	96.42	120.53	138.61	176.41		252.55	418.97	523.73	602.29	766.54
Plymouth	72.42	98.63	124.44	147.90	185.55		314.68	428.57	540.72	642.66	806.26
Portsmouth	70.21	122.07	151.22	180.80	244.08		305.08	530.42	657.09	785.62	1060.59
Reading	82.52	160.29	203.20	232.32	320.48		358.57	696.50	882.95	1009.49	1392.56
Richmond & Hambleton	69.51	92.05	115.07	130.37	163.84		302.04	399.98	500.01	566.49	711.92
Rotherham	61.28	80.75	97.81	102.72	140.43		266.28	350.88	425.01	446.34	610.20
Rugby & East	67.02	99.32	125.72	144.60	197.40		291.22	431.57	546.28	628.32	857.75
Salisbury	73.20	120.53	146.29	175.53	232.88		318.07	523.73	635.66	762.72	1011.92
Scarborough	61.38	81.92	105.32	126.89	139.26		266.71	355.96	457.64	551.37	605.12
Scunthorpe	54.41	74.79	93.61	106.67	136.30		236.42	324.98	406.76	463.51	592.26
Sheffield	65.50	96.41	108.93	118.51	158.65		284.61	418.92	473.33	514.95	689.37
Shropshire	69.04	88.90	111.18	131.67	173.57		300.00	386.29	483.10	572.14	754.20
Solihull	76.73	118.51	152.13	175.53	234.05		333.41	514.95	661.04	762.72	1017.00
South Cheshire	57.20	86.28	111.18	128.73	175.53		248.55	374.91	483.10	559.36	762.72
South Devon	64.58	98.56	130.37	155.62	195.51		280.62	428.27	566.49	676.21	849.54
South East Herts	76.06	158.14	201.17	248.46	298.78		330.50	687.16	874.13	1079.62	1298.27
South West Essex	68.52	138.31	173.99	203.20	271.18		297.74	600.99	756.03	882.95	1178.34
South West Herts	84.71	168.31	212.51	266.72	364.90		368.09	731.35	923.41	1158.96	1585.58
Southampton	68.65	122.07	163.81	193.25	246.52		298.30	530.42	711.79	839.72	1071.19
Southend	69.95	125.72	163.46	195.33	251.40		303.95	546.28	710.27	848.76	1092.39
Southern Greater Manchester	64.28	107.11	134.28	158.99	209.59		279.31	465.42	583.48	690.85	910.72
Southport	70.51	92.98	122.87	142.22	175.53		306.38	404.02	533.90	617.98	762.72
St Helens	60.86	81.92	99.47	115.86	160.29		264.45	355.96	432.22	503.44	696.50
Staffordshire North	56.13	81.92	92.45	111.18	146.49		243.90	355.96	401.72	483.10	636.53
Stevenage & North Herts	73.26	135.97	167.63	207.20	265.38		318.33	590.82	728.39	900.33	1153.14
Sunderland	50.01	89.50	99.47	111.18	140.43		217.31	388.90	432.22	483.10	610.20
Sussex East	70.96	96.42	126.01	167.55	204.92		308.34	418.97	547.54	728.04	890.43
Swindon	66.73	114.95	137.58	170.00	213.74		289.96	499.49	597.82	738.69	928.75
Tameside & Glossop	57.54	87.77	105.32	128.73	159.04		250.03	381.38	457.64	559.36	691.07
Taunton & West Somerset	67.18	93.61	122.87	148.15	187.24		291.91	406.76	533.90	643.75	813.60
Teesside	58.31	85.20	99.47	115.00	152.13		253.37	370.21	432.22	499.70	661.04
Thanet	66.28	87.10	125.72	146.81	186.22		288.00	378.47	546.28	637.92	809.17
Tyneside	62.85	92.45	105.32	117.03	152.13		273.10	401.72	457.64	508.52	661.04
Wakefield	55.94	87.77	105.32	115.86	152.13		243.07	381.38	457.64	503.44	661.04
Walton	91.54	187.10	232.25	281.37	389.14		397.76	812.99	1009.18	1222.62	1690.91
Warwickshire South	77.54	128.49	162.23	190.43	250.69		336.93	558.32	704.93	827.46	1089.31
West Cheshire	65.58	100.74	122.87	140.43	189.64		284.96	437.74	533.90	610.20	824.03
West Cumbria	68.00	80.55	93.61	106.67	136.30		295.48	350.01	406.76	463.51	592.26
West Pennine	63.46	79.33	86.45	100.72	139.64		275.75	344.71	375.65	437.65	606.77
West Wiltshire	70.57	101.75	131.93	163.41	214.08		306.64	442.13	573.27	710.06	930.23
Weston-S-Mare	67.99	99.47	128.17	157.13	187.24		295.43	432.22	556.93	682.77	813.60
Wigan	58.55	80.55	97.87	111.18	152.13		254.41	350.01	425.27	483.10	661.04
Winchester	81.13	155.35	185.55	215.47	327.63		352.53	675.03	806.26	936.27	1423.63
Wirral	55.02	86.30	103.56	126.58	143.01		239.08	374.99	449.99	550.02	621.41
Wolds and Coast	65.77	76.28	94.81	112.60	130.65		285.79	331.45	411.97	489.27	567.71
Worcester North	62.49	93.61	119.70	135.59	179.56		271.53	406.76	520.13	589.17	780.23
Worcester South	71.52	103.76	130.37	155.62	203.20		310.77	450.86	566.49	676.21	882.95
Worthing	70.37	125.76	160.29	194.09	257.69		305.77	546.46	696.50	843.37	1119.72
Yeovil	62.49	93.61	124.04	152.59	193.19		271.53	406.76	538.98	663.04	839.46
York	68.23	100.64	125.68	143.64	203.49		296.48	437.30	546.11	624.15	884.21
