"rcode","amount"
"E12000001",1660400.39726815
"E12000002",4567225.98650265
"E12000003",2848329.67967261
"E12000004",2119378.46702571
"E12000005",3581790.41376491
"E12000006",3545792.3845079
"E12000007",7204069.90823259
"E12000008",5368181.78227878
"E12000009",2870828.9807467
