"council","amount","ccode","rcode","prev_amount","my_estimated_amount"
"Tower Hamlets",229192,"E09000030","E12000007",139352,197987.029759743
"Wandsworth",112982,"E09000032","E12000007",57008,80995.2106359682
"Westminster",142034,"E09000033","E12000007",110849,157490.845210961
"Outer London",,,,,
"Barking and Dagenham",203367,"E09000002","E12000007",136185,193487.453698767
"Barnet",171087,"E09000003","E12000007",117183,166489.997332912
"Bexley",158175,"E09000004","E12000007",110849,157490.845210961
"Brent",200139,"E09000005","E12000007",142520,202488.026589921
"Bromley",161403,"E09000006","E12000007",117183,166489.997332912
"Croydon",1255713,"E09000008","E12000007",551077,782953.229224626
"Ealing",209823,"E09000009","E12000007",186860,265484.932981985
"Enfield",264700,"E09000010","E12000007",129851,184488.301576816
"Greenwich",316349,"E09000011","E12000007",253369,359978.871800881
"Harrow",77473,"E09000015","E12000007",85512,121492.815953952
"Havering",119438,"E09000016","E12000007",76010,107992.667001823
"Hillingdon",196911,"E09000017","E12000007",180526,256485.780860034
"Hounslow",164631,"E09000018","E12000007",145687,206987.602650896
"Kingston upon Thames",77473,"E09000021","E12000007",72843,103493.090940848
"Merton",138806,"E09000024","E12000007",47507,67496.4824530407
"Redbridge",242104,"E09000026","E12000007",95013,134991.54413688
"Richmond Upon Thames",83929,"E09000027","E12000007",47507,67496.4824530407
"Sutton",80701,"E09000029","E12000007",82345,116993.239892977
"Waltham Forest",213052,"E09000031","E12000007",161523,229486.903724977
"South East England",,"E12000008","E12000008",,
"Bracknell Forest",71017,"E06000036","E12000008",41172,58495.9095618875
"Brighton and Hove",306665,"E06000043","E12000008",281873,400476.477118865
"Buckinghamshire",171087,"E10000002","E12000008",110849,157490.845210961
"East Sussex",296981,"E10000011","E12000008",297708,422974.357423745
"Hampshire",687575,"E10000014","E12000008",440228,625462.384013665
"Isle of Wight",93614,"E06000046","E12000008",114016,161990.421271936
"Kent",1091082,"E10000016","E12000008",851953,1210428.58347855
"Medway",164631,"E06000035","E12000008",177359,251986.204799058
"Milton Keynes",158175,"E06000042","E12000008",63342,89994.36275792
"Oxfordshire",271156,"E10000025","E12000008",224865,319481.266482897
"Portsmouth",235648,"E06000044","E12000008",88679,125992.392014928
"Reading",116210,"E06000038","E12000008",69676,98993.5148798717
"Slough",80701,"E06000039","E12000008",53841,76495.6345749924
"Southampton",183999,"E06000045","E12000008",148855,211488.599481074
"Surrey",687575,"E10000030","E12000008",443395,629961.960074641
"West Berkshire",132350,"E06000037","E12000008",57008,80995.2106359682
"West Sussex",358314,"E10000032","E12000008",240701,341980.567556978
"Windsor and Maidenhead",64561,"E06000040","E12000008",34838,49496.7574399358
"Wokingham",93614,"E06000041","E12000008",38005,53996.3335009117
"South West England",,"E12000009","E12000009",,
"Bath and North East Somerset",116210,"E06000022","E12000009",98180,139491.120197856
"Bournemouth",103298,"E06000028","E12000009",79178,112493.663832001
"Bristol",429331,"E06000023","E12000009",351549,499469.991998737
"Cornwall",213052,"E06000052","E12000009",158356,224987.327664001
"Devon",455155,"E10000008","E12000009",171024,242985.631907905
"Dorset",219508,"E10000009","E12000009",107681,152989.848380783
"Gloucestershire",361542,"E10000013","E12000009",278706,395976.90105789
"Isles of Scilly",0,"E06000053","E12000009",0,0
"North Somerset",116210,"E06000024","E12000009",57008,80995.2106359682
"Plymouth",180771,"E06000026","E12000009",114016,161990.421271936
"Poole",61333,"E06000029","E12000009",47507,67496.4824530407
"Somerset",219508,"E10000027","E12000009",142520,202488.026589921
"South Gloucestershire",154947,"E06000025","E12000009",76010,107992.667001823
"Swindon",219508,"E06000030","E12000009",180526,256485.780860034
"Torbay",116210,"E06000027","E12000009",53841,76495.6345749924
"Wiltshire",193683,"E06000054","E12000009",104514,148490.272319807
