council,amount,ccode,rcode,new_amount
North East England,,E12000001,E12000001,
Darlington,71996.05851401653,E06000005,E12000001,50674
County Durham,166489.99733291235,E06000047,E12000001,117183
Gateshead,233986.479785953,E08000037,E12000001,164690
Hartlepool,76495.6345749924,E06000001,E12000001,53841
Middlesbrough,157490.84521096063,E06000002,E12000001,110849
Newcastle upon Tyne,283483.2372258888,E08000021,E12000001,199528
North Tyneside,80995.21063596824,E08000022,E12000001,57008
Northumberland,98993.51487987165,E06000057,E12000001,69676
Redcar and Cleveland,62995.48562286339,E06000003,E12000001,44339
South Tyneside,116993.2398929765,E08000023,E12000001,82345
Stockton-on-Tees,116993.2398929765,E06000004,E12000001,82345
Sunderland,193487.45369876747,E08000024,E12000001,136185
North West England,,E12000002,E12000002,
Blackburn with Darwen,107992.66700182336,E06000008,E12000002,76010
Blackpool,71996.05851401653,E06000009,E12000002,50674
Bolton,148490.27231980747,E08000001,E12000002,104514
Bury,161990.42127193647,E08000002,E12000002,114016
Cheshire East,166489.99733291235,E06000049,E12000002,117183
Cheshire West and Chester,157490.84521096063,E06000050,E12000002,110849
Cumbria,278983.661164913,E10000006,E12000002,196361
Halton,89994.36275791995,E06000006,E12000002,63342
Knowsley,139491.12019785578,E08000011,E12000002,98180
Lancashire,445473.6584978253,E10000017,E12000002,313544
Liverpool,566966.4744517776,E08000012,E12000002,399056
Manchester,755955.7728587707,E08000003,E12000002,532075
Oldham,89994.36275791995,E08000004,E12000002,63342
Rochdale,94493.9388188958,E08000005,E12000002,66509
Salford,148490.27231980747,E08000006,E12000002,104514
Sefton,94493.9388188958,E08000014,E12000002,66509
St Helens,58495.90956188753,E08000013,E12000002,41172
Stockport,211488.59948107376,E08000007,E12000002,148855
Tameside,80995.21063596824,E08000008,E12000002,57008
Trafford,148490.27231980747,E08000009,E12000002,104514
Warrington,130491.96807590406,E06000007,E12000002,91846
Wigan,166489.99733291235,E08000010,E12000002,117183
Wirral,251986.2047990579,E08000015,E12000002,177359
Yorkshire and the Humber,,E12000003,E12000003,
Barnsley,107992.66700182336,E08000016,E12000003,76010
Bradford,346480.1436179537,E08000032,E12000003,243868
Calderdale,112493.66383200066,E08000033,E12000003,79178
Doncaster,211488.59948107376,E08000017,E12000003,148855
East Riding of Yorkshire,148490.27231980747,E06000011,E12000003,104514
Kingston Upon Hull,193487.45369876747,E06000010,E12000003,136185
Kirklees,139491.12019785578,E08000034,E12000003,98180
Leeds,503969.5680597129,E08000035,E12000003,354716
North East Lincolnshire,107992.66700182336,E06000012,E12000003,76010
North Lincolnshire,26998.877135056562,E06000013,E12000003,19003
North Yorkshire,233986.479785953,E10000023,E12000003,164690
Rotherham,107992.66700182336,E08000018,E12000003,76010
Sheffield,256485.78086003373,E08000019,E12000003,180526
Wakefield,215988.1755420496,E08000036,E12000003,152022
York,134991.5441368799,E06000014,E12000003,95013
East Midlands,,E12000004,E12000004,
Derby,211488.59948107376,E06000015,E12000004,148855
Derbyshire,319481.2664828971,E10000007,E12000004,224865
Leicester,220487.75160302545,E06000016,E12000004,155189
Leicestershire,130491.96807590406,E10000018,E12000004,91846
Lincolnshire,278983.661164913,E10000019,E12000006,196361
Northamptonshire,386977.7489359378,E10000021,E12000004,272372
Nottingham,251986.2047990579,E06000018,E12000004,177359
Nottinghamshire,305982.5382999696,E10000024,E12000004,215364
Rutland,13498.728182927558,E06000017,E12000004,9501
West Midlands,,E12000005,E12000005,
Birmingham,683959.7143447542,E08000025,E12000005,481401
Coventry,215988.1755420496,E08000026,E12000005,152022
Dudley,215988.1755420496,E08000027,E12000005,152022
Herefordshire,121492.81595395236,E06000019,E12000005,85512
Sandwell,188987.8776377916,E08000028,E12000005,133018
Shropshire,143990.69625883162,E06000051,E12000005,101347
Solihull,292483.810117042,E08000029,E12000005,205863
Staffordshire,323980.84254387295,E10000028,E12000005,228032
Stoke-on-Trent,170989.5733938882,E06000021,E12000005,120350
Telford and Wrekin,80995.21063596824,E06000020,E12000005,57008
Walsall,220487.75160302545,E08000030,E12000005,155189
Warwickshire,445473.6584978253,E10000031,E12000005,313544
Wolverhampton,116993.2398929765,E08000031,E12000005,82345
Worcestershire,359978.8718008812,E10000034,E12000005,253369
East of England,,E12000006,E12000006,
Bedford,116993.2398929765,E06000055,E12000006,82345
Central Bedfordshire,130491.96807590406,E06000056,E12000006,91846
Cambridgeshire,247486.628738082,E10000003,E12000006,174192
Essex,742457.0446758432,E10000012,E12000006,522574
Hertfordshire,670460.9861618266,E10000015,E12000006,471900
Luton,220487.75160302545,E06000032,E12000006,155189
Norfolk,548966.7494386728,E10000020,E12000006,386387
Peterborough,175489.14945486403,E06000031,E12000006,123517
Southend-on-Sea,175489.14945486403,E06000033,E12000006,123517
Suffolk,350979.71967892954,E10000029,E12000006,247035
Thurrock,166489.99733291235,E06000034,E12000006,117183
London,,E12000007,E12000007,
Inner London,,,,
Camden,197987.0297597433,E09000007,E12000007,139352
City of London,22499.301074080708,E09000001,E12000007,15836
Hackney,184488.30157681575,E09000012,E12000007,129851
Hammersmith and Fulham,148490.27231980747,E09000013,E12000007,104514
Haringey,265484.93298198545,E09000014,E12000007,186860
Islington,341980.5675569778,E09000019,E12000007,240701
Kensington and Chelsea,112493.66383200066,E09000020,E12000007,79178
