"brma","cat_a","cat_b","cat_c","cat_d","cat_e"
"south_cheshire",57.2,86.28,111.18,128.73,175.53
"south_devon",64.58,98.56,130.37,155.62,195.51
"south_east_herts",76.06,158.14,201.17,248.46,298.78
"south_west_essex",68.52,138.31,173.99,203.2,271.18
"south_west_herts",84.71,168.31,212.51,266.72,364.9
"southampton",68.65,122.07,163.81,193.25,246.52
"southend",69.95,125.72,163.46,195.33,251.4
"southern_greater_manchester",64.28,107.11,134.28,158.99,209.59
"southport",70.51,92.98,122.87,142.22,175.53
"st_helens",60.86,81.92,99.47,115.86,160.29
"staffordshire_north",56.13,81.92,92.45,111.18,146.49
"stevenage_and_north_herts",73.26,135.97,167.63,207.2,265.38
"sunderland",50.01,89.5,99.47,111.18,140.43
"sussex_east",70.96,96.42,126.01,167.55,204.92
"swindon",66.73,114.95,137.58,170,213.74
"tameside_and_glossop",57.54,87.77,105.32,128.73,159.04
"taunton_and_west_somerset",67.18,93.61,122.87,148.15,187.24
"teesside",58.31,85.2,99.47,115,152.13
"thanet",66.28,87.1,125.72,146.81,186.22
"tyneside",62.85,92.45,105.32,117.03,152.13
"wakefield",55.94,87.77,105.32,115.86,152.13
"walton",91.54,187.1,232.25,281.37,389.14
"warwickshire_south",77.54,128.49,162.23,190.43,250.69
"west_cheshire",65.58,100.74,122.87,140.43,189.64
"west_cumbria",68,80.55,93.61,106.67,136.3
"west_pennine",63.46,79.33,86.45,100.72,139.64
"west_wiltshire",70.57,101.75,131.93,163.41,214.08
"weston-s-mare",67.99,99.47,128.17,157.13,187.24
"wigan",58.55,80.55,97.87,111.18,152.13
"winchester",81.13,155.35,185.55,215.47,327.63
"wirral",55.02,86.3,103.56,126.58,143.01
"wolds_and_coast",65.77,76.28,94.81,112.6,130.65
"worcester_north",62.49,93.61,119.7,135.59,179.56
"worcester_south",71.52,103.76,130.37,155.62,203.2
"worthing",70.37,125.76,160.29,194.09,257.69
"yeovil",62.49,93.61,124.04,152.59,193.19
"york",68.23,100.64,125.68,143.64,203.49
